,uid
1271,18420139
1272,18473100
1273,18508070
1274,18572342
1275,18607309
1276,18644185
1277,18670248
1278,18683817
1279,18741696
1280,18770292
1281,18792481
1282,18806319
1283,18836599
1284,18900873
1285,19034813
1286,19046009
1287,19090200
1288,19127944
1289,19136250
1290,19155892
1291,19232162
1292,19280392
1293,19300938
1294,19317791
1295,19324285
1296,19445445
1297,19470983
1298,19535410
1299,19583540
1300,19611854
1301,19700909
1302,19811846
1303,19835682
1304,19853763
1305,19901285
1306,19935943
1307,20033605
1308,20052058
1309,20088700
1310,20160675
1311,20202317
1312,20281682
1313,20342565
1314,20353803
1315,20393371
1316,20421300
1317,20483673
1318,20559718
1319,20589240
1320,20647856
1321,20692617
1322,20717798
1323,20834245
1324,20877798
1325,20890462
1326,20894697
1327,20904172
1328,20917655
1329,20927637
1330,20943350
1331,21024970
1332,21051009
1333,21117858
1334,21169547
1335,21198211
1336,21323378
1337,21391611
1338,21419219
1339,21444993
1340,21496344
1341,21505649
1342,21552859
1343,21565027
1344,21649506
1345,21734850
1346,21755050
1347,21818808
1348,21858832
1349,21888726
1350,22019185
1351,22049797
1352,22092134
1353,22133715
1354,22171379
1355,22222258
1356,22268345
1357,22360194
1358,22425396
1359,22464672
1360,22513498
1361,22572542
1362,22600430
1363,22623324
1364,22676795
1365,22756722
1366,22857334
1367,22914152
1368,22934676
1369,22946448
1370,23033775
1371,23045731
1372,23115382
1373,23194512
1374,23269302
1375,23299369
1376,23318935
1377,23322177
1378,23394811
1379,23465395
1380,23524134
1381,23585075
1382,23595174
1383,23669296
1384,23674495
1385,23700217
1386,23709985
1387,23824228
1388,23839498
1389,23941412
1390,23950766
1391,24014025
1392,24034477
1393,24175942
1394,24217911
1395,24301670
1396,24376666
1397,24453268
1398,24458330
1399,24534360
1400,24606119
1401,24665584
1402,24776971
1403,24818398
1404,24850303
1405,24932794
1406,25003712
1407,25011775
1408,25057415
1409,25068457
1410,25095270
1411,25145952
1412,25179267
1413,25269341
1414,25477720
1415,25546428
1416,25602030
1417,25638094
1418,25642639
1419,25671425
1420,25741585
1421,25787058
